station_cd,station_g_cd,station_name,station_name_rn,line_cd,lon,lat
1110134,1110134,黒岩,KUROIWA,11101,140.288173,42.368296
1110135,1110135,北豊津,KITA‐TOYOTSU,11101,140.297868,42.400969
1110136,1110136,国縫,KUNNUI,11101,140.320885,42.439319
1110137,1110137,中ノ沢,NAKANOSAWA,11101,140.346077,42.477928
1110138,1110138,長万部,OSHAMAMBE,11101,140.37507,42.512477
1110201,1110138,長万部,OSHAMAMBE,11102,140.37507,42.512477
1110202,1110202,二股,FUTAMATA,11102,140.320821,42.575869
1110203,1110203,蕨岱,WARABITAI,11102,140.313353,42.626353
1110204,1110204,黒松内,KUROMATSUNAI,11102,140.305704,42.669608
1110205,1110205,熱郛,NEPPU,11102,140.375084,42.675653
1110206,1110206,目名,MENA,11102,140.465742,42.761432
1110207,1110207,蘭越,RANKOSHI,11102,140.52894,42.804542
1110208,1110208,昆布,KOMBU,11102,140.596107,42.797984
1110209,1110209,ニセコ,NISEKO,11102,140.684588,42.808746
1110210,1110210,比羅夫,HIRAFU,11102,140.722615,42.84856
1110211,1110211,倶知安,KUTCHAN,11102,140.745471,42.90164
1110212,1110212,小沢,KOZAWA,11102,140.677657,42.97185
1110213,1110213,銀山,GINZAN,11102,140.715321,43.040888
1110214,1110214,然別,SHIKARIBETSU,11102,140.737211,43.12551
1110215,1110215,仁木,NIKI,11102,140.770546,43.154091
1110216,1110216,余市,YOICHI,11102,140.794686,43.186558
1110217,1110217,蘭島,RANSHIMA,11102,140.854643,43.19651
1110218,1110218,塩谷,SHIOYA,11102,140.924546,43.202406
1110219,1110219,小樽,OTARU,11102,140.993653,43.197172
1110301,1110219,小樽,OTARU,11103,140.993653,43.197172
1110302,1110302,南小樽,MINAMI-OTARU,11103,141.007883,43.186529
1110303,1110303,小樽築港,OTARUCHIKKO,11103,141.029051,43.180752
1110304,1110304,朝里,ASARI,11103,141.063923,43.176868
1110305,1110305,銭函,ZENIBAKO,11103,141.159868,43.143403
1110306,1110306,ほしみ,HOSHIMI,11103,141.191402,43.13373
1110307,1110307,星置,HOSHIOKI,11103,141.210856,43.132375
1110308,1110308,稲穂,INAHO,11103,141.222919,43.128115
1110309,1110309,手稲,TEINE,11103,141.243785,43.120238
1110310,1110310,稲積公園,INAZUMIKOEN,11103,141.257113,43.112023
1110311,1110311,発寒,HASSAMU,11103,141.277273,43.099819
1110312,1110312,発寒中央,HASSAMUCHUO,11103,141.294497,43.089271
1110313,1110313,琴似,KOTONI,11103,141.307418,43.081599
1110314,1110314,桑園,SOEN,11103,141.332036,43.070744
1110315,1110315,札幌,SAPPORO,11103,141.350768,43.068612
1110316,1110316,苗穂,NAEBO,11103,141.373631,43.068539
1110317,1110317,白石,SHIROISHI,11103,141.413612,43.054715
1110318,1110318,厚別,ATSUBETSU,11103,141.46369,43.045154
1110319,1110319,森林公園,SHINRINKOEN,11103,141.481332,43.056456
1110320,1110320,大麻,OASA,11103,141.496925,43.072382
1110321,1110321,野幌,NOPPORO,11103,141.52984,43.092559
1110322,1110322,高砂,TAKASAGO,11103,141.540752,43.100084
1110323,1110323,江別,EBETSU,11103,141.55679,43.110189
1110324,1110324,豊幌,TOYOHORO,11103,141.62466,43.136446
1110325,1110325,幌向,HOROMUI,11103,141.655839,43.151348
1110326,1110326,上幌向,KAMI-HOROMUI,11103,141.715391,43.18183
1110327,1110327,岩見沢,IWAMIZAWA,11103,141.759359,43.204201
1110328,1110328,峰延,MINENOBU,11103,141.814673,43.264694
1110329,1110329,光珠内,KOUSHUNAI,11103,141.844655,43.292658
1110330,1110330,美唄,BIBAI,11103,141.862157,43.330751
1110331,1110331,茶志内,CHASHINAI,11103,141.87336,43.369842
1110332,1110332,奈井江,NAIE,11103,141.889115,43.423718
1110333,1110333,豊沼,TOYONUMA,11103,141.901032,43.464224
1110334,1110334,砂川,SUNAGAWA,11103,141.909642,43.493468
1110335,1110335,滝川,TAKIKAWA,11103,141.900807,43.555278
1110336,1110336,江部乙,EBEOTSU,11103,141.935937,43.627564
1110337,1110337,妹背牛,MOSEUSHI,11103,141.966591,43.690841
1110338,1110338,深川,FUKAGAWA,11103,142.041642,43.721021
1110339,1110339,納内,OSAMUNAI,11103,142.130072,43.732509
1110340,1110340,伊納,INOU,11103,142.27167,43.763305
1110341,1110341,近文,CHIKABUMI,11103,142.325327,43.789193
1110342,1110342,旭川,ASAHIKAWA,11103,142.357803,43.763492
1110401,1110138,長万部,OSHAMAMBE,11104,140.37507,42.512477
