line_cd,company_cd,line_name,line_name_rn,line_type,station_cd,station_g_cd,station_name,station_name_rn,lon,lat
11102,1,函館本線,Hakodate Main Line,2,1110214,1110214,然別,SHIKARIBETSU,140.737211,43.12551
11102,1,函館本線,Hakodate Main Line,2,1110215,1110215,仁木,NIKI,140.770546,43.154091
11102,1,函館本線,Hakodate Main Line,2,1110216,1110216,余市,YOICHI,140.794686,43.186558
11102,1,函館本線,Hakodate Main Line,2,1110217,1110217,蘭島,RANSHIMA,140.854643,43.19651
11102,1,函館本線,Hakodate Main Line,2,1110218,1110218,塩谷,SHIOYA,140.924546,43.202406
11102,1,函館本線,Hakodate Main Line,2,1110219,1110219,小樽,OTARU,140.993653,43.197172
11103,1,函館本線,Hakodate Main Line,2,1110301,1110219,小樽,OTARU,140.993653,43.197172
11103,1,函館本線,Hakodate Main Line,2,1110302,1110302,南小樽,MINAMI-OTARU,141.007883,43.186529
11103,1,函館本線,Hakodate Main Line,2,1110303,1110303,小樽築港,OTARUCHIKKO,141.029051,43.180752
11103,1,函館本線,Hakodate Main Line,2,1110304,1110304,朝里,ASARI,141.063923,43.176868
11103,1,函館本線,Hakodate Main Line,2,1110305,1110305,銭函,ZENIBAKO,141.159868,43.143403
11103,1,函館本線,Hakodate Main Line,2,1110306,1110306,ほしみ,HOSHIMI,141.191402,43.13373
11103,1,函館本線,Hakodate Main Line,2,1110307,1110307,星置,HOSHIOKI,141.210856,43.132375
11103,1,函館本線,Hakodate Main Line,2,1110308,1110308,稲穂,INAHO,141.222919,43.128115
11103,1,函館本線,Hakodate Main Line,2,1110309,1110309,手稲,TEINE,141.243785,43.120238
11103,1,函館本線,Hakodate Main Line,2,1110310,1110310,稲積公園,INAZUMIKOEN,141.257113,43.112023
11103,1,函館本線,Hakodate Main Line,2,1110311,1110311,発寒,HASSAMU,141.277273,43.099819
11103,1,函館本線,Hakodate Main Line,2,1110312,1110312,発寒中央,HASSAMUCHUO,141.294497,43.089271
11103,1,函館本線,Hakodate Main Line,2,1110313,1110313,琴似,KOTONI,141.307418,43.081599
